Name,Slug,Short Description,Category,Pricing,URL,Logo URL,Date Added,Full Details,Tags,Features
ChatGPT,chatgpt,Advanced conversational AI by OpenAI.,Productivity,Freemium,https://chatgpt.com,https://www.google.com/s2/favicons?domain=chatgpt.com&sz=128,2026-04-06,"ChatGPT is a leading tool in the Productivity space. Advanced conversational AI by OpenAI. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage LLM.","LLM, Chatbot, Assistant","AI Integration, Cloud Sync, Analytics"
Midjourney,midjourney,High-quality AI image generation from text prompts.,Image Generation,Paid,https://midjourney.com,https://www.google.com/s2/favicons?domain=midjourney.com&sz=128,2026-04-06,"Midjourney is a leading tool in the Image Generation space. High-quality AI image generation from text prompts. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Art.","Art, Design, Text-to-Image","AI Integration, Cloud Sync, Analytics"
Perplexity,perplexity,AI search engine that provides cited answers.,Research,Freemium,https://perplexity.ai,https://www.google.com/s2/favicons?domain=perplexity.ai&sz=128,2026-04-06,"Perplexity is a leading tool in the Research space. AI search engine that provides cited answers. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Search.","Search, Research, Web","AI Integration, Cloud Sync, Analytics"
Notion AI,notion-ai,AI integrated workspace for notes and docs.,Productivity,Paid,https://notion.so,https://www.google.com/s2/favicons?domain=notion.so&sz=128,2026-04-06,"Notion AI is a leading tool in the Productivity space. AI integrated workspace for notes and docs. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Notes.","Notes, Writing, Workspace","AI Integration, Cloud Sync, Analytics"
Gamma,gamma,Create beautiful presentations and documents with AI.,Productivity,Freemium,https://gamma.app,https://www.google.com/s2/favicons?domain=gamma.app&sz=128,2026-04-06,"Gamma is a leading tool in the Productivity space. Create beautiful presentations and documents with AI. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Presentations.","Presentations, Slides, Design","AI Integration, Cloud Sync, Analytics"
Runway,runway,Advanced AI video generation and editing tools.,Video Creation,Freemium,https://runwayml.com,https://www.google.com/s2/favicons?domain=runwayml.com&sz=128,2026-04-06,"Runway is a leading tool in the Video Creation space. Advanced AI video generation and editing tools. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Video.","Video, Generation, Editor","AI Integration, Cloud Sync, Analytics"
ElevenLabs,elevenlabs,Ultra-realistic text-to-speech voice generation.,Audio & Voice,Freemium,https://elevenlabs.io,https://www.google.com/s2/favicons?domain=elevenlabs.io&sz=128,2026-04-06,"ElevenLabs is a leading tool in the Audio & Voice space. Ultra-realistic text-to-speech voice generation. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Voice.","Voice, TTS, Audio","AI Integration, Cloud Sync, Analytics"
Phind,phind,AI search engine tailored specifically for developers.,Coding & Development,Free,https://phind.com,https://www.google.com/s2/favicons?domain=phind.com&sz=128,2026-04-06,"Phind is a leading tool in the Coding & Development space. AI search engine tailored specifically for developers. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Coding.","Coding, Search, Developer","AI Integration, Cloud Sync, Analytics"
V0 by Vercel,v0-by-vercel,Generative UI system by Vercel.,Coding & Development,Freemium,https://v0.dev,https://www.google.com/s2/favicons?domain=v0.dev&sz=128,2026-04-06,"V0 by Vercel is a leading tool in the Coding & Development space. Generative UI system by Vercel. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage UI.","UI, React, Frontend","AI Integration, Cloud Sync, Analytics"
HeyGen,heygen,AI video generator with photorealistic avatars.,Video Creation,Freemium,https://heygen.com,https://www.google.com/s2/favicons?domain=heygen.com&sz=128,2026-04-06,"HeyGen is a leading tool in the Video Creation space. AI video generator with photorealistic avatars. Designed to optimize workflows and provide state-of-the-art AI capabilities, it is highly recommended for professionals looking to leverage Avatars.","Avatars, Video, Presentations","AI Integration, Cloud Sync, Analytics"
